Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
Panama,–,–,–,–,–,,–,–,1,3,3,46,79,120,159,197,237
Paraguay,–,–,–,–,–,,–,–,–,1,6,6,6,8,9,10,10
Peru,–,–,–,–,–,,–,–,–,–,–,73,181,348,700,1.200,1.814
PuertoRico,–,–,–,–,–,,–,–,–,1,3,18,44,62[!],53,97,111
SaintMartin,–,–,–,–,–,,–,–,–,–,–,2,2,2,3,3,3
SintMaarten,–,–,–,–,–,,–,–,–,–,–,2,9,9,13,13,15
Suriname,–,–,–,–,–,,–,–,–,–,–,–,1,1,1,1,1
TrinidadundTobago,–,–,–,–,–,,–,–,–,–,–,6,6,8,8,8,8
TurksundCaicosinseln,–,–,–,–,–,,–,–,–,–,–,–,1,1,1,1,1
Uruguay,–,–,–,–,–,,–,–,–,–,–,5,7,9,14,17,17
Venezuela,–,–,–,–,–,,–,–,–,–,–,3,9,9,10,10,10
VereinigteStaaten,–,–,–,–,–,,2,19,41,402,2.398,8.358,20.444,34.203,47.980,60.710,76.916
,,,,,,,,,,,,,,,,,
Albanien,–,–,–,–,–,,–,–,–,2,11,21,23,26,28,31,31
Andorra,–,–,–,–,–,,–,–,–,–,8,17,29,36,40,45,48
Belgien,–,–,–,–,–,,–,–,5,75,431,1.447,3.600,5.683,7.094,7.844,8.656
BosnienundHerzegowina,–,–,–,–,–,,–,–,–,1,9,21,38,46,58,76,103
Bulgarien,–,–,–,–,–,,–,–,2,3,8,20,29,43,56,73,91
Dnemark,–,–,–,–,–,,–,–,4,13,77,179,273,355,422,484,529
Deutschland,–,–,–,–,–,,–,2,12,94,583,1.434,2.799,4.404,5.750,6.692,7.417
Estland,–,–,–,–,–,,–,–,–,–,3,15,25,40,49,55,60
Finnland,–,–,–,–,–,,–,–,–,1,13,28,56,94,190,230,267
Frankreich,–,–,–,–,1,,2,19,127,674,3.017,8.064,14.374,19.689,22.821,24.859,26.338
Gibraltar,–,–,–,–,–,,–,–,–,–,–,1,0,0,0,0,0
Griechenland,–,–,–,–,–,,–,–,4,15,43,73,98,110,130,144,151
Guernsey,–,–,–,–,–,,–,–,–,–,–,3,6,9,12,13,25
Italien,–,–,–,–,–,,35,366,1.809,5.476,11.591,15.889,19.901,23.660,26.644,28.884,30.560
Irland,–,–,–,–,–,,–,–,2,4,54,158,334,610,1.087,1.303,1.458
Island,–,–,–,–,–,,–,–,–,1,2,4,8,9,10,10,10
IsleofMan,–,–,–,–,–,,–,–,–,–,–,1,1,4,18,23,23
Jersey,–,–,–,–,–,,–,–,–,–,–,3,4,12,19,24,25
Kosovo,–,–,–,–,–,,–,–,–,1,1,1,7,12,21,27,28
Kroatien,–,–,–,–,–,,–,–,–,–,6,15,23,47,55,79,90
Lettland,–,–,–,–,–,,–,–,–,–,–,1,5,5,12,16,18
Liechtenstein,–,–,–,–,–,,–,–,–,–,–,1,1,1,1,1,1
Litauen,–,–,–,–,–,,–,–,–,1,7,13,24,36,41,46,50
Luxemburg,–,–,–,–,–,,–,–,1,8,22,36,66,73,88,96,101
Malta,–,–,–,–,–,,–,–,–,–,–,–,3,3,4,4,5
RepublikMoldau,–,–,–,–,–,,–,–,–,1,2,15,33,67,96,128,171
Monaco,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,1,1
Montenegro,–,–,–,–,–,,–,–,–,–,1,2,2,5,7,8,8
Niederland,–,–,–,–,–,,–,1,20,179,864,1.766,2.737,3.684,4.475,5.056,5.440
Nordmazedonien,–,–,–,–,–,,–,–,–,1,7,18,34,51,61,84,91
Norwegen,–,–,–,–,–,,–,–,1,7,26,58,103,154,193,208,217
oesterre,–,–,–,–,–,,–,–,1,16,108,204,350,452,542,598,618
Polen,–,–,–,–,–,,–,–,3,7,31,94,232,360,535,678,800
Portugal,–,–,–,–,–,,–,–,–,–,–,295,504,714,903,1.043,1.135
Rumnien,–,–,–,–,–,,–,–,–,2,44,148,306,434,608,780,952
Russland,–,–,–,–,–,,–,–,–,–,9,45,148,361,794,1.356,2.009
SanMarino,–,–,–,–,–,,–,1,5,20,25,32,35,39,41,41,41
Schweden,–,–,–,–,–,,–,–,3,21,146,401,899,1.540,2.194,2.679,3.225
Schweiz,–,–,–,–,–,,–,2,13,60,295,715,858,1.134,1.336,1.472,1.537
Serbien,–,–,–,–,–,,–,–,–,–,13,51,80,122,156,193,215
Slowakei,–,–,–,–,–,,–,–,–,–,–,–,2,12,18,24,26
Slowenien,–,–,–,–,–,,–,–,–,–,–,28,53,74,82,96,102
Spanien,–,–,–,–,–,,–,10,288,1.720,7.340,12.418,16.972,20.453,23.190,25.264,26.621
Tschechien,–,–,–,–,–,,–,–,–,1,24,67,138,188,221,248,280
Ukraine,–,–,–,–,–,,–,–,1,3,13,38,93,151,220,303,408
Ungarn,–,–,–,–,–,,–,–,1,7,15,38,109,199,280,351,421
VereinigtesKnigreich,–,–,–,–,–,,–,2,35,281,1.408,4.934,10.612,16.060,20.732,28.446,31.855
Weissrussl,–,–,–,–,–,,–,–,–,–,–,8,26,47,72,103,135
zypernrep,–,–,–,–,–,,–,–,–,–,7,14,16,17,17,20,22
,,,,,,,,,,,,,,,,,
agypten,–,–,–,–,–,,–,1,2,14,41,78,159,239,317,429,525
Angola,–,–,–,–,–,,–,–,–,–,–,2,2,2,2,2,2
Aquatorialguinea,–,–,–,–,–,,–,–,–,–,–,–,–,–,1,2,4
athiopien,–,–,–,–,–,,–,–,–,–,–,1,3,3,3,3,5
Algerien,–,–,–,–,–,,–,–,3,17,31,130,293,375,425,463,502
Benin,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,2,2
Botswana,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,1,1
BurkinaFaso,–,–,–,–,–,,–,–,–,3,12,15,19,36,42,45,49
Burundi,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,1,1
Dschibuti,–,–,–,–,–,,–,–,–,–,–,–,2,2,2,2,3
Elfenbeinkste,–,–,–,–,–,,–,–,–,–,–,2,4,9,14,17,21
Eswatini,–,–,–,–,–,,–,–,–,–,–,–,–,1,1,1,2
Gabun,–,–,–,–,–,,–,–,–,–,–,1,1,1,3,5,8
Gambia,–,–,–,–,–,,–,–,–,–,–,1,1,1,1,1,1
Ghana,–,–,–,–,–,,–,–,–,–,5,5,8,9,11,18,22
Guinea,–,–,–,–,–,,–,–,–,–,–,–,–,3,7,7,11
GuineaBissau,–,–,–,–,–,,–,–,–,–,–,–,–,–,1,2,3
Kamerun,–,–,–,–,–,,–,–,–,–,6,9,10,21,56,64,114
KapVerde,–,–,–,–,–,,–,–,–,–,–,1,1,1,1,2,2
Kenia,–,–,–,–,–,,–,–,–,–,–,4,8,14,14,24,32
Komoren,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,1
KongoDR,–,–,–,–,–,,–,–,–,2,8,18,20,25,28,34,41
Kongorep,–,–,–,–,–,,–,–,–,–,–,5,5,6,8,10,10
Liberia,–,–,–,–,–,,–,–,–,–,–,3,5,8,12,18,20
Libyen,–,–,–,–,–,,–,–,–,–,–,–,–,1,2,3,3
Madagaskar,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,1
Malawi,–,–,–,–,–,,–,–,–,–,–,–,–,2,3,3,3
Mali,–,–,–,–,–,,–,–,–,–,–,–,7,14,23,27,38
Marokko,–,–,–,–,–,,–,–,1,4,33,71,118,141,161,174,188
Mauretanien,–,–,–,–,–,,–,–,–,–,–,1,1,1,1,1,1
Mauritius,–,–,–,–,–,,–,–,–,–,1,7,9,9,9,10,10
Mayotte,–,–,–,–,–,,–,–,–,–,–,2,3,4,4,6,11
Mosambik,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
Niger,–,–,–,–,–,,–,–,–,–,–,8,12,20,29,36,46
Nigeria,–,–,–,–,–,,–,–,–,–,1,4,10,19,40,85,143
Runion,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
Ruanda,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,–
Sambia,–,–,–,–,–,,–,–,–,–,–,1,2,3,3,3,7
SoTomundPrncipe,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,3,4
Senegal,–,–,–,–,–,,–,–,–,–,–,2,2,3,9,9,19
SierraLeone,–,–,–,–,–,,–,–,–,–,–,–,–,–,4,8,18
Simbabwe,–,–,–,–,–,,–,–,–,–,1,1,3,3,4,4,4
Somalia,–,–,–,–,–,,–,–,–,–,–,–,2,7,23,32,51
Sdafrika,–,–,–,–,–,,–,–,–,–,–,11,25,54,87,131,194
Sudan,–,–,–,–,–,,–,–,–,1,2,2,2,12,21,41,70
Sdsudan,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,4
Tansania,–,–,–,–,–,,–,–,–,–,–,1,3,7,10,18,21
Togo,–,–,–,–,–,,–,–,–,–,–,3,3,5,6,9,11
Tschad,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,10,31
Tunesien,–,–,–,–,–,,–,–,–,3,3,22,31,37,38,42,45
ZentralafrikanischeRepublik,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,–,-
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Welt,–,(74),282,548,865,,425,766,2.797,7.804,21.895,45.688,65.964,46.195,40.821,40.923,39.301
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Argentinien,183.862,"4,06","78189093925♠,0,5. Juni 2020","[12],
",,,,,,,,,,,,,
Armenien,66.674,,"78189186950♠,0,6. Juni 2020","[13],
",,,,,,,,,,,,,
Aserbaidschan,328.385,,"78189093925♠,0,5. Juni 2020","[14],
",,,,,,,,,,,,,
Äthiopien,131.368,"1,14","78189093925♠,0,5. Juni 2020","[15],
",,,,,,,,,,,,,
Australien,1.579.192,"60,64","78189093925♠,0,5. Juni 2020","[16],
",,,,,,,,,,,,,
Bahrain,350.907,"206,22","78189093925♠,0,5. Juni 2020","[17],
",,,,,,,,,,,,,
Bangladesch,358.277,"2,17","78189000900♠,0,4. Juni 2020","[18],
",,,,,,,,,,,,,
Barbados,2.549,,"78186117125♠,0,5. Mai 2020","[19],
",,,,,,,,,,,,,
Belgien,724.596,"61,17","78188907875♠,0,3. Juni 2020","[20],
",,,,,,,,,,,,,
Bolivien,33.946,"2,90","78189000900♠,0,4. Juni 2020","[21],
",,,,,,,,,,,,,
Bosnien und Herzegowina,69.654,,"78189093925♠,0,5. Juni 2020","[22],
",,,,,,,,,,,,,
Brasilien,485.000,"2,28","78188349725♠,29. Mai 2020","[23],
",,,,,,,,,,,,,
Bulgarien,87.890,"12,64","78189093925♠,0,5. Juni 2020","[24],
",,,,,,,,,,,,,
Chile,646.458,"33,81","78189000900♠,0,4. Juni 2020","[25],
",,,,,,,,,,,,,
Costa Rica,20.498,"4,02","78189000900♠,0,4. Juni 2020","[26],
",,,,,,,,,,,,,
Dänemark,562.905,"97,18","78189093925♠,0,5. Juni 2020","[27],
",,,,,,,,,,,,,
Deutschland,4.348.880,"51,90","78188535775♠,31. Mai 2020,1","[28],
",,,,,,,,,,,,,
Ecuador,74.728,"4,23","78188907875♠,0,3. Juni 2020","[29],
",,,,,,,,,,,,,
El Salvador,99.178,"15,29","78188907875♠,0,3. Juni 2020","[30],
",,,,,,,,,,,,,
Elfenbeinküste,10.073,,"78185745025♠,0,1. Mai 2020","[31],
",,,,,,,,,,,,,
Estland,88.570,"66,76","78189000900♠,0,4. Juni 2020","[32],
",,,,,,,,,,,,,
Finnland,194.722,"35,14","78188814850♠,0,2. Juni 2020","[33],
",,,,,,,,,,,,,
Frankreich,831.174,"12,73","78186117125♠,0,5. Mai 2020","[34],
",,,,,,,,,,,,,
Ghana,223.065,"7,17","78188814850♠,0,2. Juni 2020","[35],
",,,,,,,,,,,,,
Griechenland,193.929,"18,60","78189000900♠,0,4. Juni 2020","[36],
",,,,,,,,,,,,,
Indien,4.386.379,"3,17","78189093925♠,0,5. Juni 2020","[37],
",,,,,,,,,,,,,
Indonesien,256.810,"0,93","78189093925♠,0,5. Juni 2020","[38],
",,,,,,,,,,,,,
Iran,1.019.362,"12,13","78189000900♠,0,4. Juni 2020","[39],
",,,,,,,,,,,,,
Irland,348.416,"70,56","78188814850♠,0,2. Juni 2020","[40],
",,,,,,,,,,,,,
Island,62.189,"182,23","78189000900♠,0,4. Juni 2020","[41],
",,,,,,,,,,,,,
Israel,565.161,"65,29","78188256700♠,28. Mai 2020","[42],
",,,,,,,,,,,,,
Italien,4.114.572,"66,97","78189093925♠,0,5. Juni 2020","[43],
",,,,,,,,,,,,,
Jamaika,4.779,,"78185745025♠,0,1. Mai 2020","[44],
",,,,,,,,,,,,,
Japan,504.964,"3,99","78188907875♠,0,3. Juni 2020","[45],
",,,,,,,,,,,,,
Kanada,1.824.781,"47,35","78189093925♠,0,5. Juni 2020","[46],
",,,,,,,,,,,,,
Kasachstan,915.904,"46,18","78189093925♠,0,5. Juni 2020","[47],
",,,,,,,,,,,,,
Katar,246.362,"85,51","78189093925♠,0,5. Juni 2020","[48],
",,,,,,,,,,,,,
Kenia,87.698,"1,63","78189000900♠,0,4. Juni 2020","[49],
",,,,,,,,,,,,,
Kirgisistan,69.333,,"78186303175♠,0,7. Mai 2020","[50],
",,,,,,,,,,,,,
Kolumbien,374.592,"7,36","78189000900♠,0,4. Juni 2020","[51],
",,,,,,,,,,,,,
Kroatien,68.267,"16,62","78189093925♠,0,5. Juni 2020","[52],
",,,,,,,,,,,,,
Kuba,114.464,"10,10","78189000900♠,0,4. Juni 2020","[53],
",,,,,,,,,,,,,
Lettland,115.461,"61,21","78189093925♠,0,5. Juni 2020","[54],
",,,,,,,,,,,,,
Litauen,326.294,"119,86","78189093925♠,0,5. Juni 2020","[55],
",,,,,,,,,,,,,
Luxemburg,82.377,"131,59","78189000900♠,0,4. Juni 2020","[56],
",,,,,,,,,,,,,
Malawi,848,,"78185838050♠,0,2. Mai 2020","[57],
",,,,,,,,,,,,,
Malaysia,590.613,"18,24","78189093925♠,0,5. Juni 2020","[58],
",,,,,,,,,,,,,
Malediven,26.243,"48,54","78188907875♠,0,3. Juni 2020","[59],
",,,,,,,,,,,,,
Malta,35.133,,"78185838050♠,0,2. Mai 2020","[60],
",,,,,,,,,,,,,
Marokko,95.536,"2,59","78187326450♠,18. Mai 2020","[61],
",,,,,,,,,,,,,
Mexiko,267.389,"2,07","78188907875♠,0,3. Juni 2020","[62],
",,,,,,,,,,,,,
Mosambik,2.246,,"78185745025♠,0,1. Mai 2020","[63],
",,,,,,,,,,,,,
Myanmar,31.701,"0,58","78188907875♠,0,3. Juni 2020","[64],
",,,,,,,,,,,,,
Nepal,84.134,"2,88","78189000900♠,0,4. Juni 2020","[65],
",,,,,,,,,,,,,
Neuseeland,288.987,"59,92","78189000900♠,0,4. Juni 2020","[66],
",,,,,,,,,,,,,
Niederlande,378.912,"22,11","78188907875♠,0,3. Juni 2020","[67],
",,,,,,,,,,,,,
Nigeria,73.064,"0,35","78189093925♠,0,5. Juni 2020","[68],
",,,,,,,,,,,,,
Nordkorea,740,,"78184163600♠,16. Apr. 2020","[69],
",,,,,,,,,,,,,
Nordmazedonien,17.544,,"78186117125♠,0,5. Mai 2020","[70],
",,,,,,,,,,,,,
Norwegen,257.303,"47,46","78189093925♠,0,5. Juni 2020","[71],
",,,,,,,,,,,,,
Österreich,485.912,"53,23","78189186950♠,0,6. Juni 2020","[72],
",,,,,,,,,,,,,
Pakistan,638.323,"2,89","78189093925♠,0,5. Juni 2020","[73],
",,,,,,,,,,,,,
Palästina,33.194,,"78185838050♠,0,2. Mai 2020","[74],
",,,,,,,,,,,,,
Panama,70.245,"16,28","78189000900♠,0,4. Juni 2020","[75],
",,,,,,,,,,,,,
Paraguay,34.240,"4,80","78189000900♠,0,4. Juni 2020","[76],
",,,,,,,,,,,,,
Peru,1.154.468,"35,01","78189093925♠,0,5. Juni 2020","[77],
",,,,,,,,,,,,,
Philippinen,357.351,"3,26","78188907875♠,0,3. Juni 2020","[78],
",,,,,,,,,,,,,
Polen,967.177,"25,55","78188907875♠,0,3. Juni 2020","[79],
",,,,,,,,,,,,,
Portugal,873.998,"85,71","78188814850♠,0,2. Juni 2020","[80],
",,,,,,,,,,,,,
Ruanda,71.141,"5,49","78188907875♠,0,3. Juni 2020","[81],
",,,,,,,,,,,,,
Rumänien,484.782,"25,20","78189093925♠,0,5. Juni 2020","[82],
",,,,,,,,,,,,,
Russland,12.388.968,"82,59","78189093925♠,0,5. Juni 2020","[83],
",,,,,,,,,,,,,
Saudi-Arabien,887.209,"25,48","78189000900♠,0,4. Juni 2020","[84],
",,,,,,,,,,,,,
Schweden,275.500,"27,27","78188535775♠,31. Mai 2020","[85],
",,,,,,,,,,,,,
Schweiz,419.980,"47,97","78189186950♠,0,6. Juni 2020","[86],
",,,,,,,,,,,,,
Senegal,50.690,"3,02","78189093925♠,0,5. Juni 2020","[87],
",,,,,,,,,,,,,
Serbien,261.266,"38,39","78189000900♠,0,4. Juni 2020","[88],
",,,,,,,,,,,,,
Simbabwe,20.012,"1,34","78188907875♠,0,3. Juni 2020","[89],
",,,,,,,,,,,,,
Singapur,408.495,"69,82","78188721825♠,0,1. Juni 2020","[90],
",,,,,,,,,,,,,
Slowakei,185.596,"33,99","78189093925♠,0,5. Juni 2020","[91],
",,,,,,,,,,,,,
Slowenien,82.161,"39,52","78189000900♠,0,4. Juni 2020","[92],
",,,,,,,,,,,,,
Spanien,2.536.234,"53,80","78188256700♠,28. Mai 2020","[93],[94],
",,,,,,,,,,,,,
Südafrika,820.675,"13,83","78189000900♠,0,4. Juni 2020","[95],
",,,,,,,,,,,,,
Südkorea,990.960,"19,32","78189093925♠,0,5. Juni 2020","[96],
",,,,,,,,,,,,,
Taiwan,73.040,"3,06","78189000900♠,0,4. Juni 2020","[97],
",,,,,,,,,,,,,
Thailand,224.386,"3,21","78189093925♠,0,5. Juni 2020","[98],
",,,,,,,,,,,,,
Trinidad und Tobago,1.838,,"78185838050♠,0,2. Mai 2020","[99],
",,,,,,,,,,,,,
Tschechien,464.499,"43,37","78189000900♠,0,4. Juni 2020","[100],
",,,,,,,,,,,,,
Tunesien,53.161,"4,49","78188721825♠,0,1. Juni 2020","[101],
",,,,,,,,,,,,,
Türkei,2.267.412,"26,19","78189093925♠,0,5. Juni 2020","[102],
",,,,,,,,,,,,,
Uganda,102.780,"2,24","78189000900♠,0,4. Juni 2020","[103],
",,,,,,,,,,,,,
Ukraine,414.542,"9,22","78189186950♠,0,6. Juni 2020","[104],
",,,,,,,,,,,,,
Uruguay,46.512,"13,39","78189093925♠,0,5. Juni 2020","[105],
",,,,,,,,,,,,,
Ungarn,202.606,"20,97","78189093925♠,0,5. Juni 2020","[106],
",,,,,,,,,,,,,
Venezuela,495.730,,"78186210150♠,0,6. Mai 2020","[107],
",,,,,,,,,,,,,
Vereinigte Arabische Emirate,1.520.958,,"78186861325♠,13. Mai 2020","[108],
",,,,,,,,,,,,,
Vereinigte Staaten,20.384.850,"59,85","78189093925♠,0,5. Juni 2020","[109],[110],
",,,,,,,,,,,,,
Vereinigtes Königreich,5.214.277,"61,44","78189093925♠,0,5. Juni 2020","[111],
",,,,,,,,,,,,,
Vietnam,261.004,"2,68","78185372925♠,29. Apr. 2020","[112],
",,,,,,,,,,,,,
Weißrussland,597.013,"59,57","78189093925♠,0,5. Juni 2020","[113],
",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
78178954200♠,—,14,—,—,—,,2,—,—,—,—,—,—,—,—,—,16
78179047225♠,1,14,—,—,—,,2,—,—,1,—,—,—,—,—,—,18
78179140250♠,3,14,—,—,—,,2,—,—,2,—,—,—,—,—,—,21
78179233275♠,6,14,—,—,—,,2,—,—,4,—,—,—,—,—,—,26
78179326300♠,10,15,—,—,—,,2,—,—,25,—,—,—,—,1,—,53
78179419325♠,14,15,—,—,—,,5,—,—,30,1,—,—,—,1,—,66
78179791425♠,15,19,—,—,1,,10,—,1,66,2,—,—,—,2,—,117
78179884450♠,19,25,1,—,1,,12,—,1,86,2,—,—,—,2,—,150
78179977475♠,26,35,3,1,1,,12,—,1,101,2,—,1,—,2,1,188
78180070500♠,44,48,6,1,1,,12,3,4,111,2,1,1,—,2,1,240
78180163525♠,73,70,13,1,3,,14,4,18,181,8,1,1,—,7,1,400
78180256550♠,96,117,19,2,4,,16,5,18,329,10,2,2,—,7,1,639
78180349575♠,170,134,28,2,4,,17,5,19,373,13,3,4,—,8,2,795
78180442600♠,182,172,40,4,4,,19,8,21,398,19,4,7,—,9,2,902
78180535625♠,204,256,48,6,4,,26,10,38,484,17,6,12,—,9,2,1.139
78180628650♠,237,314,48,9,4,,35,13,49,484,25,7,22,7,9,4,1.296
78180721675♠,277,366,90,24,21,,48,17,75,484,25,14,26,15,27,10,1.567
78180814700♠,454,500,137,30,38,,99,23,129,688,52,14,45,27,31,14,2.369
78180907725♠,454,558,174,44,42,,148,33,230,936,102,40,83,42,48,29,3.062
78181000750♠,569,681,216,61,50,,203,45,253,1.154,121,40,93,45,60,46,3.795
78181093775♠,827,886,265,84,53,,286,50,287,1.407,168,32,130,47,103,51,4.838
78181186800♠,1.105,1.067,300,94,56,,342,51,391,1.541,325,85,140,77,123,55,6.012
78181279825♠,1.479,1.109,345,73,57,,373,45,325,2.105,442,75,182,58,127,51,7.156
78181372850♠,1.609,1.243,391,92,69,,432,56,478,2.372,474,88,198,105,159,74,8.198
78181465875♠,2.155,1.692,573,134,80,,682,98,669,3.033,637,99,275,140,202,98,10.999
78181558900♠,2.746,2.401,731,192,121,,813,131,803,3.497,801,146,394,180,266,149,13.957
78181651925♠,3.668,2.960,866,254,142,,1.080,165,1.023,3.542,938,187,567,188,308,187,16.662
78181744950♠,3.807,3.650,1.024,274,165,,1.175,172,1.306,3.545,1.053,187,606,211,347,216,18.610
78181837975♠,3.811,4.892,1.077,288,170,,1.347,172,1.483,5.615,1.177,200,653,212,383,249,22.672
78181931000♠,5.348,5.754,1.220,343,183,,1.620,199,1.764,6.318,1.370,337,811,321,478,327,27.436
78182024025♠,6.069,6.558,1.428,429,200,,1.754,218,2.140,7.197,1.591,403,959,375,577,394,31.554
78182117050♠,7.283,7.993,1.656,477,211,,2.157,244,2.347,7.924,1.816,433,1.141,418,675,468,36.508
78182210075♠,8.161,9.481,1.955,537,241,,2.323,259,2.810,9.235,1.971,505,1.305,458,812,542,42.288
78182303100♠,9.781,11.150,2.161,645,260,,2.604,308,3.150,10.607,2.212,550,1.432,"458,(2g)",915,584,48.582
78182396125♠,"9.794,(2h)",12.881,2.360,721,275,,"2.605,(2h)",348,3.450,11.400,2.396,"560,(2h)",1.617,592,1.005,697,52.547
78182489150♠,10.943,13.989,2.464,761,286,,3.091,356,3.732,12.178,2.584,706,1.795,"592,(2i)",1.049,719,57.298
78182582175♠,12.334,14.810,2.575,798,294,,3.283,366,4.063,13.225,2.726,782,1.882,680,1.120,784,61.913
78182768225♠,13.410,16.497,2.754,881,311,,3.445,406,4.382,14.351,2.899,829,2.034,750,1.246,860,67.366
78182861250♠,14.662,18.496,2.970,995,327,,3.707,438,4.695,15.427,3.132,1.020,2.183,804,1.335,925,73.522
78182954275♠,16.059,20.237,3.202,1.075,341,,3.993,468,5.081,16.606,3.362,1.079,2.336,836,1.443,982,79.696
78183047300♠,17.014,21.908,3.471,1.211,354,,4.279,501,5.571,17.885,3.504,1.265,2.591,896,1.559,1.072,85.778
78183140325♠,18.614,23.846,3.613,1.305,394,,4.575,523,5.712,18.735,3.663,1.358,2.741,919,1.631,1.140,91.714
78183233350♠,19.395,24.974,3.670,1.345,397,,4.674,528,5.960,19.384,3.882,1.483,2.903,956,1.671,1.176,95.391
78183326375♠,20.141,26.163,3.845,1.384,399,,4.837,531,6.200,20.220,3.992,1.532,2.997,987,1.730,1.208,99.225
78183419400♠,20.680,27.564,4.028,1.472,424,,4.965,555,6.385,20.929,4.148,1.637,3.144,1.020,1.827,1.285,103.228
78183512425♠,21.603,28.827,4.202,1.578,445,,5.242,572,6.804,21.961,4.336,1.693,3.261,1.075,1.932,1.351,108.202
78183605450♠,22.433,30.363,4.349,1.691,454,,5.694,586,7.114,23.028,4.440,1.854,3.402,1.121,2.029,1.416,113.525
78183698475♠,23.617,31.453,4.458,1.764,469,,5.808,601,7.343,23.644,4.622,2.016,3.565,1.135,2.065,1.435,117.658
78183791500♠,24.078,32.282,4.567,1.857,480,,5.859,605,7.602,24.267,4.734,2.058,3.600,1.166,2.118,1.464,120.479
78183884525♠,24.570,33.015,4.601,1.880,486,,6.114,618,7.723,24.883,4.810,2.079,3.655,1.193,2.134,1.485,123.016
78183977550♠,25.040,33.569,4.668,1.916,492,,6.183,619,7.885,25.300,4.880,2.112,3.751,1.207,2.164,1.504,125.098
78184070575♠,25.438,34.294,4.722,1.950,500,,6.347,624,8.019,25.835,5.004,2.145,3.819,1.223,2.245,1.550,127.584
78184163600♠,25.881,35.142,4.848,2.058,507,,6.470,634,8.188,26.383,5.087,2.201,3.955,1.248,2.294,1.601,130.450
