Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
78184256625♠,26.543,36.027,4.945,2.120,556,,6.705,634,8.442,27.030,5.211,2.254,4.048,1.279,2.349,1.682,133.830
78184349650♠,27.258,36.881,5.066,2.161,567,,6.916,645,8.649,28.006,5.324,2.289,4.140,1.315,2.387,1.717,137.439
78184442675♠,27.883,37.407,5.159,2.221,585,,7.108,651,8.797,28.471,5.432,2.303,4.190,1.350,2.417,1.756,139.897
78184535700♠,28.253,37.849,5.196,2.238,604,,7.177,653,8.900,28.971,5.523,2.314,4.229,1.369,2.426,1.785,141.672
78184628725♠,28.712,38.310,5.237,2.275,609,,7.231,655,9.098,29.389,5.561,2.328,4.253,1.383,"2.414,(2j)",1.798,143.457
78184721750♠,28.898,38.814,5.312,2.389,624,,7.380,656,9.236,30.185,5.593,2.367,4.273,1.395,2.496,1.872,145.694
78184814775♠,29.443,39.395,5.324,2.447,672,,7.593,659,9.391,30.584,5.643,2.395,4.327,1.425,2.530,1.932,148.046
78184907800♠,29.792,39.939,5.459,2.536,707,,7.712,661,9.544,31.106,5.731,2.445,4.377,1.436,2.557,2.023,150.383
78185000825♠,30.169,40.547,5.525,2.627,719,,7.837,667,9.691,31.465,5.767,2.468,4.406,1.480,2.612,2.058,152.438
78185093850♠,30.761,40.912,5.600,2.694,739,,7.946,673,9.785,31.669,5.835,2.482,4.428,1.494,2.630,2.098,154.175
78185186875♠,31.043,41.070,5.638,2.721,754,,7.979,674,9.847,31.879,5.879,2.503,4.458,1.515,2.638,2.120,155.193
78185279900♠,31.196,41.406,5.669,2.747,759,,8.026,675,9.926,32.184,5.928,2.509,4.490,1.520,2.653,2.144,156.337
78185372925♠,31.336,41.830,5.734,2.768,797,,8.184,687,9.972,32.429,5.982,2.514,4.509,1.525,2.679,2.170,157.641
78185465950♠,31.609,42.080,5.827,2.831,827,,8.304,690,10.067,32.687,6.029,2.552,4.561,1.549,2.690,2.254,159.119
78185745025♠,31.919,42.489,5.887,2.872,859,,8.376,693,10.141,33.058,6.086,2.581,4.592,1.564,2.714,2.323,160.758
78185838050♠,32.146,42.658,5.943,2.886,871,,8.486,695,10.246,33.216,6.099,2.597,4.617,1.571,2.728,2.335,161.703
78185931075♠,32.291,42.792,5.976,2.905,875,,8.524,698,10.283,33.428,6.133,2.605,4.696,1.576,2.738,2.345,162.496
78186024100♠,32.411,42.997,6.010,2.914,893,,8.549,699,10.325,33.560,6.150,2.608,4.702,1.578,2.788,2.355,163.175
78186117125♠,32.482,43.162,6.042,2.940,895,,8.585,703,10.380,33.728,6.160,2.618,4.745,1.585,2.799,2.392,163.860
78186210150♠,32.576,43.371,6.092,2.969,916,,8.642,711,10.453,33.977,6.191,2.627,4.784,1.590,2.815,2.429,164.807
78186303175♠,32.762,43.658,6.149,2.999,963,,8.736,715,10.564,34.249,6.213,2.655,4.836,1.602,2.834,2.452,166.091
78186396200♠,32.898,43.905,6.209,3.037,997,,8.850,718,10.686,34.522,6.241,2.658,4.839,1.615,2.860,2.512,167.300
78186489225♠,33.105,44.169,6.242,3.098,1.024,,8.916,722,10.803,34.817,6.282,2.660,4.873,1.637,2.898,2.533,168.551
78186582250♠,33.287,44.265,6.261,3.101,1.043,,8.998,726,10.827,34.964,6.291,2.663,4.886,1.640,2.938,2.556,169.218
78186675275♠,"33.190,(2k)",44.368,6.272,3.106,1.055,,9.012,728,10.854,35.132,6.313,2.665,4.915,1.643,2.957,2.585,169.575
78186768300♠,"33.359,(2l)",44.593,6.274,3.111,1.058,,9.031,729,10.895,35.333,6.355,2.665,4.947,1.648,"2.956,(2l)",2.594,170.508
78186861325♠,33.518,44.802,6.298,3.125,1.077,,9.087,736,10.903,35.555,6.360,2.667,4.962,1.650,2.972,2.622,171.306
78186954350♠,33.670,44.980,6.342,3.135,1.104,,9.169,739,11.003,35.741,6.382,2.677,5.031,1.656,2.982,2.652,172.239
78187047375♠,33.851,45.143,6.397,3.158,1.129,,9.204,740,11.087,35.967,6.413,2.684,5.061,1.668,2.988,2.681,173.152
78187140400♠,33.893,45.340,6.428,3.169,1.150,,9.261,746,11.092,36.065,6.449,2.688,5.089,1.676,2.998,2.711,173.772
78187233425♠,33.950,45.427,6.447,3.171,1.164,,9.317,748,11.155,36.286,"6.449,(2m)",2.696,5.115,1.676,3.000,2.725,174.355
78187326450♠,34.000,45.507,6.458,3.172,1.171,,9.337,752,11.167,36.365,6.490,2.696,5.125,1.678,3.002,2.740,174.697
78187419475♠,34.034,45.639,6.478,3.185,1.237,,9.368,752,11.207,36.485,6.520,2.699,5.133,1.679,3.002,2.750,175.210
78187512500♠,34.115,45.766,6.507,3.193,1.256,,9.483,755,11.288,36.766,6.529,2.703,5.150,1.680,3.014,2.760,176.007
78187605525♠,34.175,45.929,6.555,3.205,1.273,,9.574,762,11.362,36.912,6.555,2.706,5.185,1.689,3.021,2.796,176.752
78187698550♠,"34.174,(2n)",46.024,6.585,3.211,1.291,,9.656,763,11.420,37.010,6.566,2.707,5.197,1.692,3.039,2.818,177.212
78187791575♠,34.345,46.132,6.614,3.213,1.296,,9.670,763,11.521,37.139,6.582,2.709,5.219,1.692,3.062,2.830,177.850
78187884600♠,34.399,46.206,6.637,3.214,1.299,,9.762,760,11.578,37.223,6.590,2.713,5.221,1.694,3.062,2.857,178.281
78187977625♠,34.431,46.326,6.642,3.214,1.312,,9.770,760,"11.578,(2o)",37.298,6.596,2.716,5.231,1.694,3.062,2.871,178.570
78188070650♠,34.466,46.456,6.652,3.236,1.313,,9.804,760,11.646,37.395,6.600,2.727,5.236,1.698,3.067,2.877,179.002
78188163675♠,34.500,46.458,6.673,3.246,1.322,,9.860,760,11.678,37.541,6.611,2.730,5.247,1.698,3.070,2.898,179.364
78188256700♠,"34.129,(2p)",46.729,6.703,3.261,1.348,,9.915,760,11.750,37.698,6.652,2.731,5.260,1.701,3.072,2.932,179.717
78188349725♠,"34.479,(2q)",46.809,6.738,3.271,1.372,,9.962,759,11.832,37.803,6.673,"2.716,(2q)","5.230,(2q)",1.700,3.078,2.958,180.458
78188442750♠,34.718,46.854,6.767,3.266,1.398,,10.003,760,11.958,37.910,6.695,2.723,5.297,1.701,3.090,2.974,181.196
78188535775♠,"34.718,(2r)",46.917,6.800,3.271,"1.398,(2s)",,10.033,761,11.992,38.000,6.694,2.724,5.304,1.705,3.094,2.984,181.482
78188721825♠,34.784,47.004,6.816,3.273,"1.398,(2s)",,10.047,761,12.043,38.046,6.703,2.724,5.309,1.706,3.097,3.015,181.815
78188814850♠,34.796,47.029,6.839,3.274,1.436,,10.060,761,12.065,38.100,6.704,2.730,5.309,1.707,3.103,3.017,182.028
78188907875♠,34.813,47.138,6.874,3.273,1.447,,10.080,761,12.114,38.185,6.712,2.735,5.305,1.707,3.106,3.022,182.370
78189000900♠,34.830,47.209,6.901,3.280,1.462,,10.129,763,12.182,38.297,6.719,2.737,5.312,1.711,"3.103,(2v)",3.033,182.764
78189093925♠,34.870,47.268,6.946,3.288,1.498,,10.163,764,12.277,38.439,6.732,2.738,5.315,1.712,3.103,3.051,183.271
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
78181558900♠,25,18,20,8,18,,13,8,10,20,20,15,10,8,9,7,"17
"
78181651925♠,33,23,23,10,21,,17,10,13,20,23,19,14,9,11,9,"20
"
78181744950♠,34,28,27,11,24,,19,11,16,20,26,19,15,10,12,10,"22
"
78181837975♠,34,37,29,11,25,,21,11,19,31,29,20,16,10,13,12,"27
"
78181931000♠,48,44,33,14,27,,26,12,22,35,34,34,20,15,17,15,"33
"
78182024025♠,55,50,38,17,29,,28,14,27,40,39,41,24,17,20,18,"38
"
78182117050♠,66,61,44,19,31,,34,15,29,44,44,44,28,19,23,22,"44
"
78182210075♠,74,73,52,21,35,,37,16,35,51,48,51,32,21,28,25,"51
"
78182303100♠,88,85,58,26,38,,42,19,39,59,54,56,35,"21,(2g)",32,27,"58
"
78182396125♠,"88,(2h)",99,63,29,40,,"42,(2h)",22,43,64,59,"57,(2h)",40,27,35,33,"63
"
78182489150♠,99,107,66,30,42,,49,22,47,68,63,71,44,"27,(2i)",36,34,"69
"
78182582175♠,111,113,69,32,43,,52,23,51,74,67,79,46,31,39,37,"74
"
78182768225♠,121,126,73,35,46,,55,25,55,80,71,84,50,34,43,40,"81
"
78182861250♠,132,141,79,40,48,,59,27,59,86,77,103,54,36,46,43,"88
"
78182954275♠,145,155,85,43,50,,64,29,64,93,82,109,57,38,50,46,"96
"
78183047300♠,154,168,93,48,52,,68,31,70,100,86,128,64,41,54,50,"103
"
78183140325♠,168,182,96,52,58,,73,32,72,104,90,137,67,42,56,53,"110
"
78183233350♠,176,192,102,54,58,,75,33,75,108,95,149,71,43,58,55,"115
"
78183326375♠,182,200,103,55,58,,77,33,78,113,98,155,73,45,60,56,"119
"
78183419400♠,187,211,107,59,62,,79,34,80,117,102,165,77,46,63,60,"124
"
78183512425♠,195,220,112,63,65,,84,36,85,122,106,171,80,49,67,63,"130
"
78183605450♠,203,232,116,67,66,,91,36,89,128,109,187,83,51,70,66,"137
"
78183698475♠,213,241,119,70,69,,93,37,92,132,113,204,87,51,71,67,"142
"
78183791500♠,218,247,122,74,70,,94,38,95,135,116,208,88,53,73,68,"145
"
78183884525♠,222,252,123,75,71,,98,38,97,139,118,210,90,54,74,69,"148
"
78183977550♠,226,257,125,76,72,,99,38,99,141,119,213,92,55,75,70,"150
"
78184070575♠,230,262,126,78,73,,101,39,100,144,123,217,94,55,78,72,"153
"
78184163600♠,234,269,129,82,74,,103,39,103,147,125,222,97,57,79,75,"157
"
78184256625♠,240,276,132,84,81,,107,39,106,151,128,228,99,58,81,78,"161
"
78184349650♠,246,282,135,86,83,,110,40,108,156,130,231,102,60,82,80,"165
"
78184442675♠,252,286,138,88,86,,113,40,110,159,133,233,103,61,83,82,"168
"
78184535700♠,255,289,139,89,88,,115,41,111,162,135,234,104,62,84,83,"170
"
78184628725♠,259,293,140,91,89,,115,41,114,164,136,235,104,63,"83,(2j)",84,"173
"
78184721750♠,261,297,142,95,91,,118,41,116,168,137,239,105,63,86,87,"175
"
78184814775♠,266,301,142,97,98,,121,41,118,171,138,242,106,65,87,90,"178
"
78184907800♠,269,305,146,101,104,,123,41,120,173,140,247,107,65,88,94,"181
"
78185000825♠,273,310,147,105,105,,125,41,121,175,141,249,108,67,90,96,"183
"
78185093850♠,278,313,149,107,108,,127,42,123,177,143,251,109,68,91,98,"185
"
78185186875♠,280,314,150,108,110,,127,42,123,178,144,253,109,69,91,99,"187
"
78185279900♠,282,317,151,109,111,,128,42,124,179,145,253,110,69,92,100,"188
"
78185372925♠,283,320,153,110,117,,131,43,125,181,146,254,111,69,92,101,"190
"
78185465950♠,286,322,155,113,121,,133,43,126,182,148,258,112,70,93,105,"191
"
78185745025♠,288,325,157,114,126,,134,43,127,184,149,261,113,71,94,108,"193
"
78185838050♠,290,326,159,115,128,,135,43,128,185,149,262,113,71,94,109,"195
"
78185931075♠,292,327,159,116,128,,136,43,129,186,150,263,115,71,95,109,"195
"
78186024100♠,293,329,160,116,131,,136,43,129,187,151,263,115,71,96,110,"196
"
78186117125♠,293,330,161,117,131,,137,44,130,188,151,264,116,72,97,112,"197
"
78186210150♠,294,332,163,118,134,,138,44,131,189,152,265,117,72,97,113,"198
"
78186303175♠,296,334,164,119,141,,139,44,132,191,152,268,119,73,98,114,"200
"
78186396200♠,297,336,166,121,146,,141,45,134,193,153,268,119,73,99,117,"201
"
78186489225♠,299,338,167,123,150,,142,45,135,194,154,269,119,74,100,118,"203
"
78186582250♠,301,339,167,123,153,,144,45,136,195,154,269,120,74,101,119,"204
"
78186675275♠,300,339,167,124,154,,144,45,136,196,155,269,121,74,102,121,"204
"
78186768300♠,301,341,167,124,155,,144,45,136,197,156,269,121,75,102,121,"205
"
78186861325♠,303,343,168,124,158,,145,46,137,198,156,269,122,75,103,122,"206
"
78186954350♠,304,344,169,125,162,,146,46,138,199,156,270,123,75,103,124,"207
"
78187047375♠,306,345,171,126,165,,147,46,139,201,157,271,124,76,103,125,"208
"
78187140400♠,306,347,171,126,168,,148,46,139,201,158,271,125,76,103,126,"209
"
78187233425♠,307,347,172,126,170,,149,46,140,202,158,272,125,76,104,127,"210
"
78187326450♠,307,348,172,126,171,,149,47,140,203,159,272,126,76,104,128,"210
"
78187419475♠,307,349,173,127,181,,150,47,140,203,160,272,126,76,104,128,"211
"
78187512500♠,308,350,174,127,184,,151,47,141,206,160,273,126,76,104,129,"212
"
78187605525♠,309,351,175,128,186,,153,47,142,206,160,273,127,76,104,130,"213
"
78187698550♠,309,352,176,128,189,,154,47,143,206,161,273,127,77,105,131,"213
"
78187791575♠,310,353,176,128,190,,154,47,144,207,161,273,128,77,106,132,"214
"
78187884600♠,311,353,177,128,190,,156,47,145,208,161,274,128,77,106,133,"214
"
78187977625♠,311,354,177,128,192,,156,47,145,208,161,274,128,77,106,134,"215
"
78188070650♠,311,355,177,129,192,,156,47,146,209,162,275,128,77,106,134,"215
"
78188163675♠,312,355,178,129,194,,157,47,146,209,162,276,129,77,106,135,"216
"
78188256700♠,"308,(2p)",357,179,130,197,,158,47,147,210,163,276,129,77,106,137,"216
"
78188349725♠,"311,(2q)",358,180,130,201,,159,47,148,211,163,"274,(2q)","128,(2q)",77,106,138,"217
"
78188442750♠,314,358,181,130,205,,160,47,150,211,164,275,130,77,107,139,"218
"
78188535775♠,"314,(2r)",359,181,130,"205,(2s)",,160,47,150,212,164,275,130,77,107,139,"218
"
78188721825♠,314,359,182,130,"205,(2s)",,160,47,151,212,164,275,130,77,107,141,"219
"
78188814850♠,314,360,182,130,"210,(2u)",,161,47,151,212,164,276,130,77,107,141,"219
"
78188907875♠,314,360,183,130,212,,161,47,152,213,164,276,130,77,107,141,"219
"
78189000900♠,315,361,184,131,214,,162,47,153,214,164,276,130,77,107,142,"220
"
78189093925♠,315,361,185,131,219,,162,47,154,214,165,276,130,78,107,142,"220
"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
78180535625♠,–,–,–,–,–,,–,–,–,2,–,–,–,–,–,–,2
78180628650♠,–,–,–,–,–,,–,–,–,2,–,–,–,–,–,–,2
78180721675♠,–,–,–,–,–,,–,–,–,3,–,–,–,–,–,–,3
78180814700♠,1,1,–,–,–,,–,–,–,3,–,–,–,–,–,–,5
78180907725♠,1,1,–,–,–,,–,–,–,3,–,–,–,–,–,–,5
78181000750♠,2,1,–,–,–,,–,–,–,5,–,–,–,–,–,–,8
78181093775♠,3,4,–,–,–,,–,–,–,5,–,–,–,–,–,–,12
78181186800♠,3,5,–,–,–,,–,–,–,5,–,–,–,–,–,–,13
78181279825♠,2,4,–,–,–,,–,–,–,6,–,–,–,–,–,–,12
78181372850♠,2,4,–,–,–,,–,–,–,6,–,–,–,–,–,–,12
78181465875♠,6,8,–,–,–,,–,–,–,6,–,–,–,–,–,–,20
78181558900♠,10,12,–,–,–,,1,–,–,6,1,–,–,–,1,–,31
78181651925♠,16,19,1,–,–,,2,–,–,6,1,–,–,–,1,–,46
78181744950♠,21,21,1,–,–,,2,–,1,6,2,–,–,–,1,–,55
78181837975♠,21,26,1,–,–,,3,–,4,28,2,–,–,–,1,–,86
78181931000♠,30,30,1,–,–,,4,–,6,33,5,1,1,–,2,1,114
78182024025♠,37,37,2,1,–,,4,–,7,43,5,1,6,1,3,1,149
78182117050♠,56,47,4,1,1,,6,–,8,53,6,2,7,1,3,3,198
78182210075♠,70,55,8,1,1,,7,–,10,72,8,2,7,2,4,4,253
78182303100♠,101,77,8,1,2,,9,–,12,80,11,2,9,"2 ,(2g)",4,5,325
78182396125♠,"101 ,(2h)",107,9,1,2,,"9 ,(2h)",1,21,98,12,"2 ,(2h)",9,2,6,5,389
78182489150♠,119,127,11,2,2,,13,1,26,101,18,7,9,"2 ,(2i)",7,5,455
78182582175♠,165,162,13,2,4,,17,1,34,117,19,7,12,6,9,6,583
78182768225♠,197,225,16,4,5,,21,3,42,134,23,8,17,7,10,6,732
78182861250♠,241,268,19,7,6,,27,3,45,161,26,11,18,8,11,7,872
78182954275♠,285,307,20,9,6,,33,4,65,178,26,12,21,11,15,9,1.017
78183047300♠,316,349,22,12,6,,42,5,85,200,29,14,24,11,17,10,1.158
78183140325♠,367,396,24,17,6,,56,5,89,245,32,14,32,12,18,10,1.342
78183233350♠,387,437,26,19,8,,61,6,92,255,32,14,34,12,20,12,1.434
78183326375♠,433,481,28,20,9,,73,8,111,282,34,16,38,12,24,18,1.607
78183419400♠,464,564,32,22,10,,84,11,121,348,45,23,50,16,28,20,1.861
78183512425♠,519,635,37,30,11,,100,11,141,384,50,23,52,16,34,20,2.107
78183605450♠,570,703,42,37,13,,111,11,161,446,51,36,59,18,38,24,2.373
78183698475♠,622,747,46,37,15,,120,11,171,472,59,41,65,18,39,25,2.544
78183791500♠,649,786,50,38,15,,123,11,189,495,64,43,67,21,41,25,2.673
78183884525♠,677,820,51,38,17,,135,11,201,518,68,44,68,24,44,27,2.799
78183977550♠,711,872,56,40,20,,147,11,211,545,70,52,70,25,49,31,2.969
78184070575♠,767,954,62,42,21,,173,11,224,607,77,58,73,26,54,38,3.254
78184163600♠,802,1.049,74,54,21,,187,13,248,663,87,71,94,26,55,45,3.569
78184256625♠,872,1.137,84,60,22,,197,13,274,726,92,76,95,28,59,49,3.868
78184349650♠,919,1.198,91,62,24,,212,14,281,791,99,86,103,29,61,50,4.110
78184442675♠,968,1.256,92,66,25,,230,15,288,814,106,91,107,30,62,53,4.294
78184535700♠,982,1.286,94,66,25,,240,15,291,857,107,91,109,30,67,53,4.404
78184628725♠,1.031,1.336,97,67,25,,251,15,306,896,116,93,117,32,70,55,4.598
78184721750♠,1.063,1.424,105,74,26,,265,15,328,964,122,97,122,33,79,71,4.879
78184814775♠,1.113,1.476,105,84,27,,286,15,340,999,131,99,127,34,84,61,5.094
78184907800♠,1.153,1.525,112,90,27,,296,16,364,1.052,136,105,135,35,88,65,5.321
78185000825♠,1.189,1.566,113,97,27,,305,16,377,1.084,138,107,141,35,95,71,5.500
78185093850♠,1.237,1.596,123,100,27,,315,16,384,1.096,147,107,147,36,96,73,5.640
78185186875♠,1.249,1.621,125,100,27,,320,16,391,1.131,152,121,147,36,98,74,5.750
78185279900♠,1.269,1.681,127,106,27,,333,17,394,1.171,157,123,148,39,101,78,5.913
78185372925♠,1.299,1.754,137,109,29,,346,17,406,1.200,161,129,153,39,103,80,6.115
78185465950♠,1.353,1.799,147,113,29,,353,17,416,1.219,166,131,156,43,106,85,6.288
78185745025♠,1.385,1.850,149,120,30,,360,18,429,1.261,172,135,162,44,110,93,6.481
78185838050♠,1.402,1.885,152,122,30,,364,18,451,1.268,173,135,163,44,112,93,6.575
78185931075♠,1.412,1.910,154,122,30,,370,18,453,1.287,176,138,165,44,113,93,6.649
78186024100♠,1.421,1.926,154,122,30,,372,18,456,1.290,177,139,167,45,113,96,6.692
78186117125♠,1.452,1.949,154,123,31,,381,19,463,1.332,182,139,171,46,118,99,6.831
78186210150♠,1.481,2.001,159,127,31,,386,19,470,1.358,187,141,177,46,119,104,6.996
78186303175♠,1.497,2.050,162,129,32,,396,19,478,1.372,189,143,181,48,120,109,7.119
78186396200♠,1.515,2.114,163,131,32,,403,19,493,1.397,192,140,184,48,122,112,7.266
78186489225♠,1.534,2.147,164,133,32,,408,19,496,1.424,195,142,186,48,122,115,7.369
78186582250♠,1.542,2.153,165,134,32,,411,19,498,1.425,195,142,187,48,123,117,7.395
78186675275♠,1.545,2.155,165,134,34,,412,19,498,1.437,195,142,187,48,124,118,7.417
78186768300♠,1.568,2.182,165,136,35,,415,20,507,1.456,206,144,190,50,125,118,7.533
78186861325♠,1.594,2.209,170,137,36,,419,20,508,1.473,207,144,191,52,125,126,7.634
78186954350♠,1.608,2.229,173,138,37,,423,20,524,1.483,212,145,195,52,125,131,7.723
78187047375♠,1.628,2.260,177,148,37,,429,20,534,1.493,213,147,195,54,126,135,7.824
78187140400♠,1.644,2.273,181,149,37,,432,20,535,1.500,216,149,197,54,126,137,7.881
78187233425♠,1.648,2.283,182,149,37,,435,20,544,1.505,216,149,196,54,126,138,7.914
78187326450♠,1.652,2.287,180,149,38,,439,20,545,1.512,217,149,196,54,126,139,7.935
78187419475♠,1.653,2.314,182,150,38,,442,20,548,1.525,222,154,198,54,128,147,8.007
78187512500♠,1.672,2.339,186,151,38,,446,20,557,1.537,222,154,198,54,131,149,8.090
78187605525♠,1.680,2.348,186,151,39,,451,20,566,1.546,224,157,201,54,134,151,8.147
78187698550♠,"1.680,(2n)",2.358,190,152,39,,457,20,568,1.547,224,157,203,54,134,151,8.174
78187791575♠,1.692,2.367,190,154,41,,458,20,571,1.555,226,157,204,54,136,151,8.216
78187884600♠,1.697,2.377,191,154,41,,460,20,572,1.563,227,157,204,54,137,152,8.247
78187977625♠,1.698,2.382,191,154,41,,460,20,572,1.565,228,157,205,54,137,152,8.257
78188070650♠,1.707,2.401,191,154,42,,462,20,574,1.571,228,158,207,54,139,153,8.302
78188163675♠,1.724,2.404,193,154,42,,466,20,578,1.577,229,160,208,55,140,157,8.349
78188256700♠,1.724,2.438,195,155,41,,471,20,583,1.582,230,161,210,55,143,158,8.411
78188349725♠,1.743,2.441,196,155,41,,476,20,585,1.588,230,162,209,55,144,159,8.450
78188442750♠,1.748,2.450,197,155,42,,476,20,593,1.595,230,163,213,55,145,161,8.489
78188535775♠,"1.748,(2r)",2.450,198,155,"42,(2s)",,477,20,593,1.597,230,163,213,55,145,162,8.500
78188721825♠,1.752,2.451,198,155,"42,(2s)",,480,20,593,1.598,230,163,214,55,145,162,8.511
78188814850♠,1.758,2.456,198,155,42,,480,20,594,1.599,230,163,"211,(2t)",55,145,163,8.522
78188907875♠,1.760,2.466,198,156,43,,480,20,596,1.607,230,163,212,55,146,166,8.551
78189000900♠,1.761,2.479,200,156,44,,482,20,601,1.611,230,164,212,55,146,167,8.581
78189093925♠,1.778,2.481,200,156,44,,482,20,604,1.617,230,166,212,55,146,169,8.613
,,,,,,,,,,,,,,,,,
